event_id,visitor_id,search_guid,opening_uid,position,collector_ts,is_bot
EVT_80afb00251cf4050,113.221.205.42.9478949861700086,9F0254C6-8E5E-4B0E-AAEC-AD95B078F7A7,~199818191433716728,91,2024-01-15T19:33:16.000+0000,False
EVT_9b06743c85ce49e2,113.221.205.42.9478949861700086,9F0254C6-8E5E-4B0E-AAEC-AD95B078F7A7,~306374057583245916,92,2024-01-15T19:33:16.000+0000,False
EVT_6b864f83bf194de0,113.221.205.42.9478949861700086,9F0254C6-8E5E-4B0E-AAEC-AD95B078F7A7,~880963109817413971,93,2024-01-15T19:33:16.000+0000,False
EVT_f0cd215607744454,113.221.205.42.9478949861700086,9F0254C6-8E5E-4B0E-AAEC-AD95B078F7A7,~365474849911471421,94,2024-01-15T19:33:16.000+0000,False
EVT_bc6d2dd055ef4166,113.221.205.42.9478949861700086,9F0254C6-8E5E-4B0E-AAEC-AD95B078F7A7,~932669438950018402,95,2024-01-15T19:33:16.000+0000,False
EVT_ebdedf6ac43b45c5,113.221.205.42.9478949861700086,9F0254C6-8E5E-4B0E-AAEC-AD95B078F7A7,~753608504712983352,96,2024-01-15T19:33:16.000+0000,False
EVT_66ff221dab2645a2,113.221.205.42.9478949861700086,9F0254C6-8E5E-4B0E-AAEC-AD95B078F7A7,~940515544603651759,97,2024-01-15T19:33:16.000+0000,False
EVT_6c4a78975800449e,113.221.205.42.9478949861700086,9F0254C6-8E5E-4B0E-AAEC-AD95B078F7A7,~907607906474056157,98,2024-01-15T19:33:16.000+0000,False
EVT_fdfc5977618c4bc8,112.108.116.218.5813156693594853,F5440015-5174-4C06-910F-9CB16CCC7F17,~306374057583245916,61,2024-01-15T05:43:21.000+0000,False
EVT_2b2eb5d15a32420f,112.108.116.218.5813156693594853,F5440015-5174-4C06-910F-9CB16CCC7F17,~743274789430450381,62,2024-01-15T05:43:21.000+0000,False
EVT_1907ccfde59a4185,112.108.116.218.5813156693594853,F5440015-5174-4C06-910F-9CB16CCC7F17,~907607906474056157,63,2024-01-15T05:43:21.000+0000,False
EVT_39317cba60d54092,112.108.116.218.5813156693594853,F5440015-5174-4C06-910F-9CB16CCC7F17,~940515544603651759,64,2024-01-15T05:43:21.000+0000,False
EVT_2439d1d0a07248f8,112.108.116.218.5813156693594853,F5440015-5174-4C06-910F-9CB16CCC7F17,~464759857793003888,65,2024-01-15T05:43:21.000+0000,False
EVT_f9f8ea33da2c4cf5,112.108.116.218.5813156693594853,F5440015-5174-4C06-910F-9CB16CCC7F17,~203574195218389338,66,2024-01-15T05:43:21.000+0000,False
EVT_25ca2a5fb70347ac,182.201.52.140.8257931165554636,F982434F-9331-41F2-8D95-0A37AC4DCBEB,~753608504712983352,81,2024-01-15T17:53:18.000+0000,False
EVT_e55841680bd74f91,182.201.52.140.8257931165554636,F982434F-9331-41F2-8D95-0A37AC4DCBEB,~907607906474056157,82,2024-01-15T17:53:18.000+0000,False
EVT_8ceb9b19a6f642ee,182.201.52.140.8257931165554636,F982434F-9331-41F2-8D95-0A37AC4DCBEB,~464759857793003888,83,2024-01-15T17:53:18.000+0000,False
EVT_6df9107cfe2543a8,182.201.52.140.8257931165554636,F982434F-9331-41F2-8D95-0A37AC4DCBEB,~149173799560693904,84,2024-01-15T17:53:18.000+0000,False
EVT_b845dce7e7b44cf9,182.201.52.140.8257931165554636,F982434F-9331-41F2-8D95-0A37AC4DCBEB,~345100575194069253,85,2024-01-15T17:53:18.000+0000,False
EVT_b40f0575be0349a2,182.201.52.140.8257931165554636,F982434F-9331-41F2-8D95-0A37AC4DCBEB,~778387278128331331,86,2024-01-15T17:53:18.000+0000,False
EVT_eecf568258f040e2,113.221.205.42.9478949861700086,0AA189D0-0B9B-45E6-B12F-9961A72A7437,~711985265972524932,41,2024-01-15T10:45:07.000+0000,False
EVT_8722ff45d61742c3,113.221.205.42.9478949861700086,0AA189D0-0B9B-45E6-B12F-9961A72A7437,~253620329726030318,42,2024-01-15T10:45:07.000+0000,False
EVT_76189027b60f427d,113.221.205.42.9478949861700086,0AA189D0-0B9B-45E6-B12F-9961A72A7437,~517970305268049820,43,2024-01-15T10:45:07.000+0000,False
EVT_09fee963948a4e37,113.221.205.42.9478949861700086,0AA189D0-0B9B-45E6-B12F-9961A72A7437,~201229071073273427,44,2024-01-15T10:45:07.000+0000,False
EVT_9d420da1a3a04ec3,113.221.205.42.9478949861700086,0AA189D0-0B9B-45E6-B12F-9961A72A7437,~538977901705763689,45,2024-01-15T10:45:07.000+0000,False
EVT_b2951f261d9c4d90,113.221.205.42.9478949861700086,0AA189D0-0B9B-45E6-B12F-9961A72A7437,~791106233590490366,46,2024-01-15T10:45:07.000+0000,False
EVT_dc13b7ddebe84924,113.221.205.42.9478949861700086,0AA189D0-0B9B-45E6-B12F-9961A72A7437,~345100575194069253,47,2024-01-15T10:45:07.000+0000,False
EVT_a09738355bdb4a6b,113.221.205.42.9478949861700086,0AA189D0-0B9B-45E6-B12F-9961A72A7437,~590229130566262526,48,2024-01-15T10:45:07.000+0000,False
EVT_996a18c891944534,24.173.64.123.5913164520032732,0C1D1B39-F5D9-4ACE-A8EA-54EC511FA084,~926275785385270041,21,2024-01-15T12:26:04.000+0000,False
EVT_bba6acf8c36149de,24.173.64.123.5913164520032732,0C1D1B39-F5D9-4ACE-A8EA-54EC511FA084,~753608504712983352,22,2024-01-15T12:26:04.000+0000,False
EVT_3ceb9c9be9b84270,24.173.64.123.5913164520032732,0C1D1B39-F5D9-4ACE-A8EA-54EC511FA084,~819330391008835362,23,2024-01-15T12:26:04.000+0000,False
EVT_463aaf4c03f14b7f,24.173.64.123.5913164520032732,0C1D1B39-F5D9-4ACE-A8EA-54EC511FA084,~711985265972524932,24,2024-01-15T12:26:04.000+0000,False
EVT_f45b1439a9bd4d54,24.173.64.123.5913164520032732,0C1D1B39-F5D9-4ACE-A8EA-54EC511FA084,~743274789430450381,25,2024-01-15T12:26:04.000+0000,False
EVT_88d3c039c7fd42f8,75.40.229.220.2674905654954640,5033CB69-57F3-4E1A-81C7-C6137558CAFC,~203574195218389338,61,2024-01-15T02:40:27.000+0000,False
EVT_7064c5e5aebd4222,75.40.229.220.2674905654954640,5033CB69-57F3-4E1A-81C7-C6137558CAFC,~711985265972524932,62,2024-01-15T02:40:27.000+0000,False
EVT_987864a55bd3469b,75.40.229.220.2674905654954640,5033CB69-57F3-4E1A-81C7-C6137558CAFC,~632054008047310927,63,2024-01-15T02:40:27.000+0000,False
EVT_aa48ab4e0381436c,75.40.229.220.2674905654954640,5033CB69-57F3-4E1A-81C7-C6137558CAFC,~791106233590490366,64,2024-01-15T02:40:27.000+0000,False
EVT_4472ff3600964425,75.40.229.220.2674905654954640,5033CB69-57F3-4E1A-81C7-C6137558CAFC,~538977901705763689,65,2024-01-15T02:40:27.000+0000,False
EVT_3eda9c6a7009439c,75.40.229.220.2674905654954640,5033CB69-57F3-4E1A-81C7-C6137558CAFC,~932669438950018402,66,2024-01-15T02:40:27.000+0000,False
EVT_1ddf6441759a4487,75.40.229.220.2674905654954640,5033CB69-57F3-4E1A-81C7-C6137558CAFC,~907607906474056157,67,2024-01-15T02:40:27.000+0000,False
EVT_ff60d47f9e494e5a,75.40.229.220.2674905654954640,5033CB69-57F3-4E1A-81C7-C6137558CAFC,~199818191433716728,68,2024-01-15T02:40:27.000+0000,False
EVT_0b9ba51545d84811,75.40.229.220.2674905654954640,5033CB69-57F3-4E1A-81C7-C6137558CAFC,~880963109817413971,69,2024-01-15T02:40:27.000+0000,False
EVT_1c096b2e51ef4881,178.221.166.50.4413353456481963,DB313EEF-5F1F-4484-BCBD-FB812B9D7FAF,~195652715593206219,51,2024-01-15T06:00:07.000+0000,False
EVT_ba8094cd8d5244d8,178.221.166.50.4413353456481963,DB313EEF-5F1F-4484-BCBD-FB812B9D7FAF,~199818191433716728,52,2024-01-15T06:00:07.000+0000,False
EVT_2a6e5e4008124e66,178.221.166.50.4413353456481963,DB313EEF-5F1F-4484-BCBD-FB812B9D7FAF,~590229130566262526,53,2024-01-15T06:00:07.000+0000,False
EVT_7032284332fb42a4,178.221.166.50.4413353456481963,DB313EEF-5F1F-4484-BCBD-FB812B9D7FAF,~365474849911471421,54,2024-01-15T06:00:07.000+0000,False
EVT_7e0e19c1fc2144b6,178.221.166.50.4413353456481963,DB313EEF-5F1F-4484-BCBD-FB812B9D7FAF,~538977901705763689,55,2024-01-15T06:00:07.000+0000,False
EVT_41accf793dd84ba3,178.221.166.50.4413353456481963,DB313EEF-5F1F-4484-BCBD-FB812B9D7FAF,~517970305268049820,56,2024-01-15T06:00:07.000+0000,False
EVT_00a1d3f9f7a6470f,33.56.235.19.4359647642425608,70124117-D1CF-471D-B20F-03CE86660E13,~538977901705763689,91,2024-01-15T19:03:29.000+0000,False
EVT_b0cc7ea2e40c49d6,33.56.235.19.4359647642425608,70124117-D1CF-471D-B20F-03CE86660E13,~345100575194069253,92,2024-01-15T19:03:29.000+0000,False
EVT_6c617a915e5e4a08,33.56.235.19.4359647642425608,70124117-D1CF-471D-B20F-03CE86660E13,~253620329726030318,93,2024-01-15T19:03:29.000+0000,False
